fragment_id,particle_size_um,Cd_total_mg_kg,mean_CMI,background_mean_CMI,median_CMI,background_median_CMI,log2FC_CMI,p_value,n_group_sample,n_background_sample,P_mobilization_or_higher,P_aging_amplified,rank,q_value_raw,q_value,minus_log10_q,volcano_class,point_label
PET_COOH,10,5.0,0.11435374943053817,0.0600849747914228,0.0866108266861362,0.03153868192654085,0.9284274860237371,1.8715044495310093e-116,2500,2500,0.4404,0.1072,83,3.788105391821802e-116,3.743010461990662e-116,115.42677895899874,not strongly differentiated,PET_COOH | 10 µm | Cd 5.0
PET_COOH,10,10.0,0.13744786731447417,0.07221933416132974,0.1041021695714848,0.03790802304515385,0.928427487938309,1.871505230995331e-116,2500,2500,0.5148,0.1612,84,3.743010461990662e-116,3.743010461990662e-116,115.42677895899874,not strongly differentiated,PET_COOH | 10 µm | Cd 10.0
PE_COOH,1000,0.6,0.027979998848556658,0.021195959466123404,0.0211918790858944,0.00889701536279185,0.4006066130559752,1.438500928175533e-74,2500,2500,0.02,0.0,85,2.843154775688112e-74,2.685203285990574e-74,73.57102283002328,not strongly differentiated,PE_COOH | 1000 µm | Cd 0.6
PE_COOH,1000,0.3,0.013197244237145873,0.009997436219676767,0.0099955116386661,0.0041964292193120995,0.40060659457034875,1.4385009744074832e-74,2500,2500,0.0,0.0,86,2.810094926749502e-74,2.685203285990574e-74,73.57102283002328,not strongly differentiated,PE_COOH | 1000 µm | Cd 0.3
PE_COOH,1000,1.0,0.038874380384168225,0.029448885804225024,0.0294432166741442,0.01236118562295075,0.40060661768086275,1.4385014598437875e-74,2500,2500,0.0724,0.0,87,2.777795922456969e-74,2.685203285990574e-74,73.57102283002328,not strongly differentiated,PE_COOH | 1000 µm | Cd 1.0
PE_COOH,1000,5.0,0.07319887363622865,0.05545105155139871,0.0554403768105459,0.0232756086519346,0.40060662325074564,1.438501586981824e-74,2500,2500,0.2728,0.024,88,2.746230302419846e-74,2.685203285990574e-74,73.57102283002328,not strongly differentiated,PE_COOH | 1000 µm | Cd 5.0
PE_COOH,1000,2.0,0.05365713499557901,0.040647409050671664,0.0406395841213725,0.0170617717664305,0.4006066209533216,1.438501633213878e-74,2500,2500,0.1508,0.0036,89,2.7153738694374323e-74,2.685203285990574e-74,73.57102283002328,not strongly differentiated,PE_COOH | 1000 µm | Cd 2.0
PE_COOH,1000,10.0,0.08798162824763943,0.06664957479784535,0.0666367442577742,0.02797619479541425,0.40060662431065486,1.4385017603520932e-74,2500,2500,0.34,0.0532,90,2.685203285990574e-74,2.685203285990574e-74,73.57102283002328,not strongly differentiated,PE_COOH | 1000 µm | Cd 10.0
PET_F,1000,0.3,0.012774963164531234,0.010138438610842732,0.0096756785507683,0.00427797577332185,0.33348361741156013,1.364858653539835e-66,2500,2500,0.0,0.0,91,2.5197390526889263e-66,2.388504506695241e-66,65.62187393494122,not strongly differentiated,PET_F | 1000 µm | Cd 0.3
PET_F,1000,0.6,0.02708470406479655,0.021494904205765556,0.0205137883216178,0.0090699054333472,0.33348363292768424,1.364858702373328e-66,2500,2500,0.0188,0.0,92,2.4923506738991206e-66,2.388504506695241e-66,65.62187393494122,not strongly differentiated,PET_F | 1000 µm | Cd 0.6
PET_F,1000,1.0,0.03763049076972505,0.029864228620555936,0.0285011023285305,0.012601392722450401,0.33348363680963716,1.364858966074523e-66,2500,2500,0.0644,0.0,93,2.465551680650751e-66,2.388504506695241e-66,65.62187393494122,not strongly differentiated,PET_F | 1000 µm | Cd 1.0
PET_F,1000,2.0,0.051940231669990365,0.04122069421547876,0.03933921209938,0.017393322382475748,0.333483639556413,1.3648592590759623e-66,2500,2500,0.142,0.0028,94,2.4393229311144857e-66,2.388504506695241e-66,65.62187393494122,not strongly differentiated,PET_F | 1000 µm | Cd 2.0
PET_F,1000,5.0,0.07085668019660987,0.056233125144028985,0.0536664139009393,0.023727908828787253,0.333483641484782,1.3648593274429535e-66,2500,2500,0.26,0.022,95,2.4136459685306966e-66,2.388504506695241e-66,65.62187393494122,not strongly differentiated,PET_F | 1000 µm | Cd 5.0
PET_F,1000,10.0,0.08516642109687518,0.06758959073895181,0.0645045236717888,0.0285198384888126,0.3334836423744291,1.3648597181115662e-66,2500,2500,0.3272,0.0484,96,2.388504506695241e-66,2.388504506695241e-66,65.62187393494122,not strongly differentiated,PET_F | 1000 µm | Cd 10.0
PE_COOH,500,0.3,0.01356233731683192,0.010355194849127806,0.0102720308923544,0.00428776152304195,0.38925109890700604,1.822723917951897e-66,2500,2500,0.0,0.0,97,3.15688266201978e-66,3.002135441632642e-66,65.52256971841294,not strongly differentiated,PE_COOH | 500 µm | Cd 0.3
PE_COOH,500,0.6,0.02875404710936545,0.021954457669250263,0.0217781384792022,0.009090652587903099,0.38925111631335035,1.8227241002024018e-66,2500,2500,0.0232,0.0,98,3.1246698860612603e-66,3.002135441632642e-66,65.52256971841294,not strongly differentiated,PE_COOH | 500 µm | Cd 0.6
