fragment_id,pH,organic_matter_percent,particle_size_um,Cd_total_mg_kg,mean_CMI,background_mean_CMI,median_CMI,background_median_CMI,log2FC_CMI,p_value,P_mobilization_or_higher,P_aging_amplified,n_group,n_background,rank,q_value_raw,q_value,minus_log10_q_raw,minus_log10_q_capped,log2FC_plot,minus_log10_q_plot,volcano_class,label
PE_F,8.0,4.0,500,10.0,0.00033755981340330513,0.008273490981147897,0.0003070295527201,0.00714506229145355,-4.615277034213021,1.0541925777405304e-99,0.0,0.0,300,300,1,8.501008946899637e-96,7.073599654535386e-99,98.15035952364853,8.0,-4.635105096091968,7.985713643495067,reduced mobilization risk,PE_F | pH 8.0 | OM 4.0% | 500 µm | Cd 10.0
PE_F,8.0,2.0,1000,0.6,5.4651260487377994e-05,0.0032753302035484315,4.9842495849376825e-05,0.0028565945571234503,-5.905215821187069,1.0541925777405304e-99,0.0,0.0,300,300,40,2.1252522367249092e-97,7.073599654535386e-99,98.15035952364853,8.0,-5.883297866875351,8.0,reduced mobilization risk,PE_F | pH 8.0 | OM 2.0% | 1000 µm | Cd 0.6
PE_F,8.0,4.0,500,0.3,5.063397201050087e-05,0.001241023647172138,4.605443290802064e-05,0.001071759343718,-4.615253803880164,1.0541925777405304e-99,0.0,0.0,300,300,41,2.0734168163169845e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.6101432984950295,7.945274507532216,reduced mobilization risk,PE_F | pH 8.0 | OM 4.0% | 500 µm | Cd 0.3
PE_F,8.0,4.0,500,0.6,0.00010735108429407868,0.002631143259527825,9.7641822533704e-05,0.00227227932319035,-4.615268243067544,1.0541925777405304e-99,0.0,0.0,300,300,42,2.0240497492618183e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.630967920592809,8.0,reduced mobilization risk,PE_F | pH 8.0 | OM 4.0% | 500 µm | Cd 0.6
PE_F,8.0,4.0,500,1.0,0.00014914964464754276,0.003655613585609627,0.0001356599537806,0.0031570212431706497,-4.615271855607681,1.0541925777405304e-99,0.0,0.0,300,300,43,1.9769788248603807e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.635917268629756,8.0,reduced mobilization risk,PE_F | pH 8.0 | OM 4.0% | 500 µm | Cd 1.0
PE_F,8.0,4.0,500,2.0,0.00020586675693113672,0.0050457331979653075,0.0001872473434063,0.00435754122264305,-4.615274411759695,1.0541925777405304e-99,0.0,0.0,300,300,44,1.9320474879317356e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.579166486114064,8.0,reduced mobilization risk,PE_F | pH 8.0 | OM 4.0% | 500 µm | Cd 2.0
PE_F,7.0,0.5,1000,1.0,0.0005444888163063557,0.03266257831457498,0.0005007552552519,0.029281124937933847,-5.906589846419543,1.0541925777405304e-99,0.0,0.0,300,300,45,1.8891130993110304e-97,7.073599654535386e-99,98.15035952364853,8.0,-5.891741198651736,7.955083946392862,reduced mobilization risk,PE_F | pH 7.0 | OM 0.5% | 1000 µm | Cd 1.0
PE_F,7.0,0.5,1000,5.0,0.0010252502462362598,0.06150230354940104,0.0009429017334715,0.05513516467856885,-5.9065910681739275,1.0541925777405304e-99,0.0,0.0,300,300,46,1.8480454232390513e-97,7.073599654535386e-99,98.15035952364853,8.0,-5.888597869763218,8.0,reduced mobilization risk,PE_F | pH 7.0 | OM 0.5% | 1000 µm | Cd 5.0
PE_F,6.5,4.0,250,0.3,0.0007829792067408511,0.012293637959114753,0.0007201418210478,0.01096112246623665,-3.97279237382777,1.0541925777405304e-99,0.0,0.0,300,300,47,1.8087253078509865e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.918205170259949,7.961199056609145,reduced mobilization risk,PE_F | pH 6.5 | OM 4.0% | 250 µm | Cd 0.3
PE_F,6.5,4.0,250,1.0,0.002306377829249158,0.036212678172820735,0.0021212812750076,0.032287562201098505,-3.9727935133603722,1.0541925777405304e-99,0.0,0.0,300,300,48,1.771043530604091e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.9931900870762638,7.995463909767269,reduced mobilization risk,PE_F | pH 6.5 | OM 4.0% | 250 µm | Cd 1.0
PE_F,7.0,2.0,250,0.6,0.001368837838457522,0.021491605593829996,0.0012586401892045,0.0191513120656156,-3.9727488300773994,1.0541925777405304e-99,0.0,0.0,300,300,49,1.7348997850815584e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.908762385117253,8.0,reduced mobilization risk,PE_F | pH 7.0 | OM 2.0% | 250 µm | Cd 0.6
